# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 24 01:32:12 2021
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage]
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage]
# COLUMN plntransdeplim: Transit Depth Limit Flag
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN plnradjlim:     Planet Radius Limit Flag
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD]
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD]
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument
WASP-12 b,3.6000,,,,,,,,,,0.11722,0.00138,-0.00138,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
WASP-12 b,4.5000,,,,,,,,,,0.11773,0.00183,-0.00183,0,2454508.977005,0.000310,-0.000310,0,<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>,Spitzer Space Telescope satellite,Infrared Array Camera (IRAC)
HAT-P-1 b,1.1269,,,,,,,,,,0.11656,0.00065,-0.00065,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.1461,,,,,,,,,,0.11632,0.00068,-0.00068,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.1653,,,,,,,,,,0.11643,0.00073,-0.00073,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.1845,,,,,,,,,,0.11493,0.00072,-0.00072,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.2037,,,,,,,,,,0.11640,0.00062,-0.00062,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.2229,,,,,,,,,,0.11715,0.00062,-0.00062,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.2421,,,,,,,,,,0.11656,0.00061,-0.00061,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.2613,,,,,,,,,,0.11528,0.00061,-0.00061,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.2805,,,,,,,,,,0.11639,0.00064,-0.00064,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.2997,,,,,,,,,,0.11519,0.00055,-0.00055,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.3189,,,,,,,,,,0.11651,0.00065,-0.00065,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.3381,,,,,,,,,,0.11744,0.00062,-0.00062,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.3573,,,,,,,,,,0.11656,0.00054,-0.00054,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.3765,,,,,,,,,,0.11726,0.00060,-0.00060,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.3957,,,,,,,,,,0.11716,0.00069,-0.00069,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.4149,,,,,,,,,,0.11807,0.00068,-0.00068,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.4341,,,,,,,,,,0.11780,0.00072,-0.00072,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.4533,,,,,,,,,,0.11719,0.00068,-0.00068,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.4725,,,,,,,,,,0.11823,0.00064,-0.00064,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.4917,,,,,,,,,,0.11731,0.00070,-0.00070,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.5109,,,,,,,,,,0.11798,0.00076,-0.00076,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.5301,,,,,,,,,,0.11737,0.00076,-0.00076,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.5493,,,,,,,,,,0.11650,0.00072,-0.00072,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.5685,,,,,,,,,,0.11605,0.00088,-0.00088,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.5877,,,,,,,,,,0.11466,0.00086,-0.00086,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.6069,,,,,,,,,,0.11616,0.00072,-0.00072,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.6261,,,,,,,,,,0.11474,0.00081,-0.00081,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
HAT-P-1 b,1.6453,,,,,,,,,,0.11571,0.00090,-0.00090,0,2456114.345307,0.000180,-0.000180,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3
CoRoT-1 b,0.8600,0.1755,,,,,,,,,0.13890,0.00120,-0.00120,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,0.9800,0.1755,,,,,,,,,0.14500,0.00270,-0.00270,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.0830,0.1755,,,,,,,,,0.14480,0.00130,-0.00130,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.2590,0.1755,,,,,,,,,0.14400,0.00140,-0.00140,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.4340,0.1755,,,,,,,,,0.14740,0.00160,-0.00160,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.6100,0.1755,,,,,,,,,0.14150,0.00100,-0.00100,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.7860,0.1755,,,,,,,,,0.14260,0.00260,-0.00260,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.9610,0.1755,,,,,,,,,0.14310,0.00290,-0.00290,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,2.1370,0.1755,,,,,,,,,0.14400,0.00220,-0.00220,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,2.3120,0.1755,,,,,,,,,0.14700,0.00200,-0.00200,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
GJ 436 b,1.1360,,0.696600,0.006700,-0.006700,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.1550,,0.699400,0.006000,-0.006000,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.1740,,0.692400,0.005200,-0.005200,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.1930,,0.687200,0.006900,-0.006900,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.2110,,0.696800,0.005600,-0.005600,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.2300,,0.704600,0.006000,-0.006000,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.2490,,0.703600,0.005900,-0.005900,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.2680,,0.696700,0.005700,-0.005700,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.2890,,0.686900,0.005900,-0.005900,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.3060,,0.704300,0.005500,-0.005500,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.3240,,0.686900,0.005800,-0.005800,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.3430,,0.704600,0.006100,-0.006100,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
GJ 436 b,1.3620,,0.705700,0.006200,-0.006200,0,,,,,,,,,2456226.691310,0.000110,-0.000110,0,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...66K/abstract target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
